From;FromProperty;FromValue;To;ToProperty;ToValue;Name;Cardinalities
PhysicalSpaces;name;Rincon  L3;PhysicalAreas;name;Guardascoba Rincon  L3;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Rincon  L3;PhysicalAreas;name;Techo Rincon  L3;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Baño  L3;PhysicalAreas;name;Puerta Baño L3;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Baño  L3;PhysicalAreas;name;Marco Puerta Baño L3;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Baño  L3;PhysicalAreas;name;Filo Marco Puerta Baño L3;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Baño  L3;PhysicalAreas;name;Pared Frontal Baño L3;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Baño  L3;PhysicalAreas;name;Pared Lado Derecho Baño L3;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Baño  L3;PhysicalAreas;name;Pared Lado Izquierdo Baño L3;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Baño  L3;PhysicalAreas;name;Filo Columna PLD Baño L3;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Baño  L3;PhysicalAreas;name;Filo Columna PLI Baño L3;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Baño  L3;PhysicalAreas;name;Marco Vacio PLI Baño L3;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Baño  L3;PhysicalAreas;name;Filo Marco Vacio PLI Baño L3;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Baño  L3;PhysicalAreas;name;Piso Baño  L3;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Baño  L3;PhysicalAreas;name;Guardascoba Baño  L3;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Baño  L3;PhysicalAreas;name;Techo Baño  L3;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local  L4;PhysicalAreas;name;Puerta Local L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local  L4;PhysicalAreas;name;Marco Puerta Local L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local  L4;PhysicalAreas;name;Filo Marco Puerta Local L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local  L4;PhysicalAreas;name;Pared Fachada Interior Local L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local  L4;PhysicalAreas;name;Pared Frontal Local L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local  L4;PhysicalAreas;name;Pared Lado Derecho Local L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local  L4;PhysicalAreas;name;Pared Lado Izquierdo Local L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local  L4;PhysicalAreas;name;Filo1 Columna PFI Local  L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local  L4;PhysicalAreas;name;Filo2 Columna PFI Local  L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local  L4;PhysicalAreas;name;Filo Marco PFI Caja eléctrica Local L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local  L4;PhysicalAreas;name;Piso Local  L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local  L4;PhysicalAreas;name;Guardascoba Local  L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Local  L4;PhysicalAreas;name;Techo Local  L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Cocina  L4;PhysicalAreas;name;Marco Puerta Cocina L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Cocina  L4;PhysicalAreas;name;Pared Frontal Cocina L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Cocina  L4;PhysicalAreas;name;Pared Lado Derecho Cocina L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Cocina  L4;PhysicalAreas;name;Pared Lado Izquierdo Cocina L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Cocina  L4;PhysicalAreas;name;Piso Cocina  L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Cocina  L4;PhysicalAreas;name;Guardascoba Cocina L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Cocina  L4;PhysicalAreas;name;Techo Cocina  L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Alcoba  L4;PhysicalAreas;name;Puerta Alcoba L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Alcoba  L4;PhysicalAreas;name;Marco Puerta Alcoba L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Alcoba  L4;PhysicalAreas;name;Filo Marco Puerta Alcoba L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Alcoba  L4;PhysicalAreas;name;Pared Fachada Interior Alcoba L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Alcoba  L4;PhysicalAreas;name;Pared Frontal Alcoba L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Alcoba  L4;PhysicalAreas;name;Pared Lado Derecho Alcoba L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Alcoba  L4;PhysicalAreas;name;Pared Lado Izquierdo Alcoba L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Alcoba  L4;PhysicalAreas;name;Ventana PLD Alcoba L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Alcoba  L4;PhysicalAreas;name;Marco Ventana PLD Alcoba L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Alcoba  L4;PhysicalAreas;name;Filo Marco Ventana PLD Alcoba L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Alcoba  L4;PhysicalAreas;name;Filo1 Columna PFI Alcoba L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Alcoba  L4;PhysicalAreas;name;Filo2 Columna PFI Alcoba L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Alcoba  L4;PhysicalAreas;name;Filo Columna PFR Alcoba L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Alcoba  L4;PhysicalAreas;name;Filo1 Columna PLI Alcoba L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Alcoba  L4;PhysicalAreas;name;Filo2 Columna PLI Alcoba L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Alcoba  L4;PhysicalAreas;name;Piso Alcoba  L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Alcoba  L4;PhysicalAreas;name;Guardascoba Alcoba L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Alcoba  L4;PhysicalAreas;name;Techo Alcoba  L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Patio  L4;PhysicalAreas;name;Marco Puerta Patio L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Patio  L4;PhysicalAreas;name;Filo Puerta Patio L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Patio  L4;PhysicalAreas;name;Pared Fachada Interior Patio L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Patio  L4;PhysicalAreas;name;Pared Frontal Patio L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Patio  L4;PhysicalAreas;name;Pared Lado Derecho Patio L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Patio  L4;PhysicalAreas;name;Pared Lado Izquierdo Patio L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Patio  L4;PhysicalAreas;name;Filo Columna PFR Patio L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Patio  L4;PhysicalAreas;name;Filo Columna PLI Patio L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Patio  L4;PhysicalAreas;name;Marco Vacio PFI Patio L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Patio  L4;PhysicalAreas;name;Piso Patio  L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Patio  L4;PhysicalAreas;name;Guardascoba Patio L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Patio  L4;PhysicalAreas;name;Techo Patio  L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Baño  L4;PhysicalAreas;name;Puerta Baño L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Baño  L4;PhysicalAreas;name;Marco Puerta Baño L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Baño  L4;PhysicalAreas;name;Filo Marco Puerta Baño L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Baño  L4;PhysicalAreas;name;Pared Fachada Interior Baño L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Baño  L4;PhysicalAreas;name;Pared Frontal Baño L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Baño  L4;PhysicalAreas;name;Pared Lado Derecho Baño L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Baño  L4;PhysicalAreas;name;Pared Lado Izquierdo Baño L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Baño  L4;PhysicalAreas;name;Filo Columna PFR Baño L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Baño  L4;PhysicalAreas;name;Filo Columna PLI Baño L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Baño  L4;PhysicalAreas;name;Piso Baño  L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Baño  L4;PhysicalAreas;name;Guardascoba Baño L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Baño  L4;PhysicalAreas;name;Techo Baño  L4;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Pasillo A201;PhysicalAreas;name;Puerta A201;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Pasillo A201;PhysicalAreas;name;Marco Puerta A201;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Pasillo A201;PhysicalAreas;name;Filo Marco Puerta A201;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Pasillo A201;PhysicalAreas;name;Pared Frontal Pasillo A201;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Pasillo A201;PhysicalAreas;name;Pared Lado Derecho Pasillo A201;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Pasillo A201;PhysicalAreas;name;Pared Lado Izquierdo Pasillo A201;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Pasillo A201;PhysicalAreas;name;Piso Pasillo A201;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Pasillo A201;PhysicalAreas;name;Guardascoba Pasillo A201;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Pasillo A201;PhysicalAreas;name;Techo Pasillo A201;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Sala Comedor A201;PhysicalAreas;name;Marco Puerta Sala Comedor A201;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Sala Comedor A201;PhysicalAreas;name;Filo Marco Puerta Sala Comedor A201;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Sala Comedor A201;PhysicalAreas;name;Pared Fachada Interior Sala Comedor A201;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Sala Comedor A201;PhysicalAreas;name;Pared Frontal Sala Comedor A201;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Sala Comedor A201;PhysicalAreas;name;Pared Lado Derecho Sala Comedor A201;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Sala Comedor A201;PhysicalAreas;name;Pared Lado Izquierdo Sala Comedor A201;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Sala Comedor A201;PhysicalAreas;name;Ventana PFR Sala Comedor A201;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Sala Comedor A201;PhysicalAreas;name;Marco Ventana PFR Sala Comedor A201;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Sala Comedor A201;PhysicalAreas;name;Filo Columna PFR Sala Comedor A201;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Sala Comedor A201;PhysicalAreas;name;Filo1 Columna PLD Sala Comedor A201;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Sala Comedor A201;PhysicalAreas;name;Filo2 Columna PLD Sala Comedor A201;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Sala Comedor A201;PhysicalAreas;name;Filo1 Horizontal PFR Sala Comedor A201;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Sala Comedor A201;PhysicalAreas;name;Filo2 Horizontal PFR Sala Comedor A201;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Sala Comedor A201;PhysicalAreas;name;Columna Sala Comedor A201;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Sala Comedor A201;PhysicalAreas;name;Piso Sala Comedor A201;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Sala Comedor A201;PhysicalAreas;name;Guardascoba Sala Comedor A201;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Sala Comedor A201;PhysicalAreas;name;Techo Sala Comedor A201;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Alcoba1 A201;PhysicalAreas;name;Puerta Alcoba1 A201;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Alcoba1 A201;PhysicalAreas;name;Marco Puerta Alcoba1 A201;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Alcoba1 A201;PhysicalAreas;name;Filo Marco Puerta Alcoba1 A201;;Muchos a Muchos Bidirecccional No.7
PhysicalSpaces;name;Alcoba1 A201;PhysicalAreas;name;Pared Fachada Interior Alcoba1 A201;;Muchos a Muchos Bidirecccional No.7
