String;String;Double;Double;Double;Double;Double;PhysicalAreas
name;code;width;high;prof;area;volume;
Marco Puerta Balcon Alcoba1 A202;;;;;;;
Filo Marco Puerta Balcon Alcoba1 A202;;;;;;;
Pared Fachada Interior Balcon Alcoba1 A202;;;;;;;
Pared Frontal Balcon Alcoba1 A202;;;;;;;
Pared Lado Derecho Balcon Alcoba1 A202;;;;;;;
Pared Lado Izquierdo Balcon Alcoba1 A202;;;;;;;
Ventana PFR Balcon Alcoba1 A202;;;;;;;
Marco Ventana PFR Balcon Alcoba1 A202;;;;;;;
Filo Marco Ventana PFR Balcon Alcoba1 A202;;;;;;;
Piso Balcon Alcoba1 A202;;;;;;;
Guardascoba Balcon Alcoba1 A202;;;;;;;
Techo Balcon Alcoba1 A202;;;;;;;
Puerta Alcoba2 A202;;;;;;;
Marco Puerta Alcoba2 A202;;;;;;;
Filo Marco Puerta Alcoba2 A202;;;;;;;
Pared Fachada Interior Alcoba2 A202;;;;;;;
Pared Frontal Alcoba2 A202;;;;;;;
Pared Lado Derecho Alcoba2 A202;;;;;;;
Pared Lado Izquierdo Alcoba2 A202;;;;;;;
Ventana PFR Alcoba2 A202;;;;;;;
Marco Ventana PFR Alcoba2 A202;;;;;;;
Filo Marco Ventana PFR Alcoba2 A202;;;;;;;
Filo Horizontal PFI Alcoba2 A202;;;;;;;
Filo Columna PFR Alcoba2 A202;;;;;;;
Filo Columna PLD Alcoba2 A202;;;;;;;
Piso Alcoba2 A202;;;;;;;
Guardascoba Alcoba2 A202;;;;;;;
Techo Alcoba2 A202;;;;;;;
Puerta Balcon Alcoba2 A202;;;;;;;
Marco Puerta Balcon Alcoba2 A202;;;;;;;
Filo Marco Puerta Balcon Alcoba2 A202;;;;;;;
Pared Fachada Interior Balcon Alcoba2 A202;;;;;;;
Pared Frontal Balcon Alcoba2 A202;;;;;;;
Pared Lado Derecho Balcon Alcoba2 A202;;;;;;;
Pared Lado Izquierdo Balcon Alcoba2 A202;;;;;;;
Ventana PFR Balcon Alcoba2 A202;;;;;;;
Marco Ventana PFR Balcon Alcoba2 A202;;;;;;;
Filo Marco Ventana PFR Balcon Alcoba2 A202;;;;;;;
Piso Balcon Alcoba2 A202;;;;;;;
Guardascoba Balcon Alcoba2 A202;;;;;;;
Techo Balcon Alcoba2 A202;;;;;;;
Puerta Baño A202;;;;;;;
Marco Puerta Baño A202;;;;;;;
Filo Marco Puerta Baño A202;;;;;;;
Pared Fachada Interior Baño A202;;;;;;;
Pared Frontal Baño A202;;;;;;;
Pared Lado Derecho Baño A202;;;;;;;
Pared Lado Izquierdo Baño A202;;;;;;;
Piso Baño A202;;;;;;;
Guardascoba Baño A202;;;;;;;
Techo Baño A202;;;;;;;
Marco Puerta Baño Cocina A202;;;;;;;
Filo Marco Puerta Baño Cocina A202;;;;;;;
Pared Fachada Interior Baño Cocina A202;;;;;;;
Pared Frontal Baño Cocina A202;;;;;;;
Pared Lado Derecho Baño Cocina A202;;;;;;;
Pared Lado Izquierdo Baño Cocina A202;;;;;;;
Marco Vacio PFI Baño Cocina A202;;;;;;;
Filo Marco Vacio PFI Baño Cocina A202;;;;;;;
Filo Columna PFR Baño Cocina A202;;;;;;;
Filo Columna PLI Baño Cocina A202;;;;;;;
Piso Baño Cocina A202;;;;;;;
Guardascoba Baño Cocina A202;;;;;;;
Techo Baño Cocina A202;;;;;;;
Marco Puerta Cocina A202;;;;;;;
Filo Marco Puerta Cocina A202;;;;;;;
