From;FromProperty;FromValue;To;ToProperty;ToValue;Name;Cardinalities
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Marco Puerta Baño L3;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Marco Puerta Baño L4;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Marco Puerta Baño L5;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Marco Puerta Cocina A201;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Marco Puerta Cocina A202;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Marco Puerta Ingreso Piso2 CR23;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Marco Puerta Local L4;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Marco Puerta Rincon L2;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Marco Puerta Rincon L3;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Marco Puerta Sala Comedor A201;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Marco Vacio PFI Alcoba2 A201;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Marco Vacio PFI Baño A201;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Marco Vacio PFI Baño Cocina A202;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Marco Vacio PFR Balcon A202;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Marco Vacio Placa Piso3;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Marco Vacio PLD Balcon A202;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Marco Vacio PLI Baño L2;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Marco Vacio PLI Baño L3;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Marco Vacio PLI Cocina L2;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Marco Ventana PFR Alcoba1 A201;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Marco Ventana PFR Alcoba1 A202;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Marco Ventana PFR Alcoba2 A202;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Marco Ventana PFR Balcon A201;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Marco Ventana PFR Balcon Alcoba1 A202;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Marco Ventana PFR Balcon Alcoba2 A202;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Marco Ventana PLD Alcoba L4;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Marco Ventana PLD Local L2;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Marco Ventana PLD Sala Comedor A202;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Placa Fachada Piso3 CL46;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Placa Fachada Piso3 CR23;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo Puerta Patio L4;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo1 Columna PFI Alcoba L4;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo1 Columna PFI Alcoba2 A201;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo1 Columna PFI Local  L3;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo1 Columna PFI Local  L4;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo1 Columna PFI Pasillo A202;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo1 Columna PFR Cocina A202;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo1 Columna PFR Local1;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo1 Columna PFR Sala Comedor A202;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo1 Columna PLD Baño L1;;Uno a Muchos Bidirecccional No.5
