port;code
R11SW1-36;R11SW1-36
R11SW1-37;R11SW1-37
R11SW1-38;R11SW1-38
R11SW1-39;R11SW1-39
R11SW1-40;R11SW1-40
R11SW1-41;R11SW1-41
R11SW1-42;R11SW1-42
R11SW1-43;R11SW1-43
R11SW1-44;R11SW1-44
R11SW1-45;R11SW1-45
R11SW1-46;R11SW1-46
R11SW1-47;R11SW1-47
R11SW1-48;R11SW1-48
R12SW1-01;R12SW1-01
R12SW1-02;R12SW1-02
R12SW1-03;R12SW1-03
R12SW1-04;R12SW1-04
R12SW1-05;R12SW1-05
R12SW1-06;R12SW1-06
R12SW1-07;R12SW1-07
R12SW1-08;R12SW1-08
R12SW1-09;R12SW1-09
R12SW1-10;R12SW1-10
R12SW1-11;R12SW1-11
R12SW1-12;R12SW1-12
R12SW1-13;R12SW1-13
R12SW1-14;R12SW1-14
R12SW1-15;R12SW1-15
R12SW1-16;R12SW1-16
R12SW1-17;R12SW1-17
R12SW1-18;R12SW1-18
R12SW1-19;R12SW1-19
R12SW1-20;R12SW1-20
R12SW1-21;R12SW1-21
R12SW1-22;R12SW1-22
R12SW1-23;R12SW1-23
R12SW1-24;R12SW1-24
R13SW1-01;R13SW1-01
R13SW1-02;R13SW1-02
R13SW1-03;R13SW1-03
R13SW1-04;R13SW1-04
R13SW1-05;R13SW1-05
R13SW1-06;R13SW1-06
R13SW1-07;R13SW1-07
R13SW1-08;R13SW1-08
R13SW1-09;R13SW1-09
R13SW1-10;R13SW1-10
R13SW1-11;R13SW1-11
R13SW1-12;R13SW1-12
R13SW1-13;R13SW1-13
R13SW1-14;R13SW1-14
R13SW1-15;R13SW1-15
R13SW1-16;R13SW1-16
R13SW1-17;R13SW1-17
R13SW1-18;R13SW1-18
R13SW1-19;R13SW1-19
R13SW1-20;R13SW1-20
R13SW1-21;R13SW1-21
R13SW1-22;R13SW1-22
R13SW1-23;R13SW1-23
R13SW1-24;R13SW1-24
R14SW1-01;R14SW1-01
R14SW1-02;R14SW1-02
R14SW1-03;R14SW1-03
R14SW1-04;R14SW1-04
R14SW1-05;R14SW1-05
R14SW1-06;R14SW1-06
R14SW1-07;R14SW1-07
R14SW1-08;R14SW1-08
R14SW1-09;R14SW1-09
R14SW1-10;R14SW1-10
R14SW1-11;R14SW1-11
R14SW1-12;R14SW1-12
R14SW1-13;R14SW1-13
R14SW1-14;R14SW1-14
R14SW1-15;R14SW1-15
R14SW1-16;R14SW1-16
R14SW1-17;R14SW1-17
R14SW1-18;R14SW1-18
R14SW1-19;R14SW1-19
R14SW1-20;R14SW1-20
R14SW1-21;R14SW1-21
R14SW1-22;R14SW1-22
R14SW1-23;R14SW1-23
R14SW1-24;R14SW1-24
